Provinsi | Kota/Kabupaten | Jarak dari Kota Solo (km)
Aceh | Kota Banda Aceh | 1900
Aceh | Kabupaten Aceh Besar | 1850
Aceh | Kabupaten Aceh Barat | 2000
Aceh | Kabupaten Aceh Jaya | 2050
Aceh | Kabupaten Aceh Tengah | 1950
Aceh | Kabupaten Aceh Selatan | 2000
Aceh | Kabupaten Aceh Tenggara | 1920
Aceh | Kabupaten Aceh Timur | 1900
Aceh | Kabupaten Bener Meriah | 1950
Aceh | Kabupaten Pidie | 1850
Aceh | Kabupaten Pidie Jaya | 1870
Aceh | Kabupaten Gayo Lues | 1930
Aceh | Kabupaten Langsa | 1800
Aceh | Kabupaten Lhokseumawe | 1850
Aceh | Kabupaten Nagan Raya | 1980
Aceh | Kabupaten North Aceh | 1850
Aceh | Kabupaten Simeulue | 2200
Sumatera Utara | Kota Medan | 1400
Sumatera Utara | Kabupaten Deli Serdang | 1350
Sumatera Utara | Kabupaten Langkat | 1450
Sumatera Utara | Kabupaten Karo | 1430
Sumatera Utara | Kabupaten Simalungun | 1450
Sumatera Utara | Kabupaten Asahan | 1500
Sumatera Utara | Kabupaten Toba Samosir | 1450
Sumatera Utara | Kabupaten Samosir | 1470
Sumatera Utara | Kabupaten Serdang Bedagai | 1350
Sumatera Utara | Kabupaten Labuhan Batu | 1520
Sumatera Utara | Kabupaten Labuhan Batu Utara | 1540
Sumatera Utara | Kabupaten Labuhan Batu Selatan | 1530
Sumatera Utara | Kabupaten Nias | 1600
Sumatera Utara | Kabupaten Nias Selatan | 1620
Sumatera Utara | Kabupaten Nias Utara | 1610
Sumatera Utara | Kabupaten Nias Barat | 1620
Sumatera Utara | Kabupaten Mandailing Natal | 1450
Sumatera Utara | Kabupaten Padang Lawas | 1480
Sumatera Utara | Kabupaten Padang Lawas Utara | 1490
Sumatera Utara | Kabupaten Tapanuli Selatan | 1450
Sumatera Utara | Kabupaten Tapanuli Tengah | 1480
Sumatera Utara | Kabupaten Tapanuli Utara | 1500
Sumatera Utara | Kota Sibolga | 1480
Sumatera Utara | Kabupaten Pematang Siantar | 1450
Sumatera Selatan | Kota Palembang | 950
Sumatera Selatan | Kabupaten Ogan Ilir | 930
Sumatera Selatan | Kabupaten Ogan Komering Ulu (OKU) | 1000
Sumatera Selatan | Kabupaten Musi Banyuasin | 980
Sumatera Selatan | Kabupaten Lahat | 1010
Sumatera Selatan | Kabupaten Muara Enim | 960
Sumatera Selatan | Kabupaten Pali | 970
Sumatera Selatan | Kabupaten Empat Lawang | 1030
Sumatera Selatan | Kabupaten OKU Timur | 1020
Sumatera Selatan | Kabupaten OKU Selatan | 1040
Sumatera Selatan | Kabupaten Banyuasin | 980
Sumatera Selatan | Kabupaten Muratara | 1050
Sumatera Barat | Kota Padang | 1000
Sumatera Barat | Kabupaten Solok | 980
Sumatera Barat | Kabupaten Agam | 970
Sumatera Barat | Kabupaten Tanah Datar | 960
Sumatera Barat | Kabupaten Pesisir Selatan | 1020
Sumatera Barat | Kabupaten Sijunjung | 1010
Sumatera Barat | Kabupaten Limapuluh Kota | 950
Sumatera Barat | Kabupaten Pasaman | 1070
Sumatera Barat | Kabupaten Pasaman Barat | 1100
Sumatera Barat | Kabupaten Dharmasraya | 1050
