Time                 | Category                  | Name                      | Price      | Stock      | Weight     | Sold       | Tags                
1704449200           | Food                      | Biscuit                   | 10000      | 69         | 100        | 10         | Biscuit             
1704450000           | Food                      | Wafer                     | 10000      | 95         | 100        | 10         | Wafer               
1704450800           | Food                      | Ruma                      | 15000      | 98         | 150        | 15         | Biscuit             
1704451600           | Food                      | Instant Noodles           | 15000      | 100        | 150        | 15         | Energy              
1704452400           | Food                      | Snack-It                  | 5000       | 150        | 50         | 30         | Snack               
1704453200           | Food                      | Noodles                   | 12000      | 200        | 80         | 25         | Instant             
1704454000           | Food                      | Crispy Chicken            | 12000      | 100        | 250        | 20         | Snack               
1704454800           | Food                      | Sushi Roll                | 25000      | 79         | 200        | 15         | Japanese Food       
1704455600           | Food                      | Nachitos                  | 8000       | 200        | 100        | 20         | Snack               
1704456400           | Food                      | Burger-Man                | 20000      | 50         | 300        | 18         | Fast Food           
1704457200           | Food                      | Sweet Cake                | 15000      | 60         | 500        | 12         | Dessert             
1704458000           | Food                      | Cream Donut               | 7000       | 150        | 200        | 25         | Dessert             
1704458800           | Food                      | Breakfast Cereal          | 10000      | 100        | 300        | 40         | Breakfast           
1704459600           | Food                      | Crisp-Oreo                | 12000      | 80         | 120        | 20         | Biscuit             
1704460400           | Food                      | Espresso Snack            | 9000       | 100        | 80         | 18         | Caffeine            
1704461200           | Drink                     | Bubble Tea                | 11000      | 90         | 300        | 15         | Snack               
1704462000           | Drink                     | Coca-Cola                 | 7000       | 100        | 1000       | 15         | Soda                
1704462800           | Drink                     | Mineral Water             | 2000       | 100        | 200        | 0          | Healthy             
1704463600           | Drink                     | Iced Coffee               | 12000      | 150        | 300        | 50         | Caffeine            
1704464400           | Drink                     | Aqua Fresh                | 2500       | 300        | 500        | 0          | Healthy             
1704465200           | Home Appliances           | Max Blender               | 200000     | 30         | 500        | 50         | Kitchen             
1704466000           | Electronics               | Refrigerator              | 3500000    | 15         | 2000       | 75         | Kitchen             
1704466800           | Books                     | Learning Python           | 80000      | 300        | 100        | 5          | Programming         
1704467600           | Books                     | Encyclopedia              | 200000     | 50         | 500        | 30         | Knowledge           
1704468400           | Building Materials        | Super Cement              | 50000      | 100        | 1000       | 10         | Construction        
1704469200           | Sports Equipment          | Stationary Bike           | 3000000    | 10         | 700        | 50         | Fitness             
1704470000           | Home Appliances           | Vacuum Cleaner            | 1500000    | 20         | 600        | 30         | Cleaning            
1704470800           | Home Appliances           | Pressure Cooker           | 300000     | 40         | 400        | 20         | Kitchen             
1704471600           | Home Appliances           | Vacuum Cleaner            | 500000     | 60         | 700        | 25         | Cleaning            
1704472400           | Electronics               | Smartwatch                | 2000000    | 30         | 300        | 50         | Wearable            
1704473200           | Electronics               | Camera Drone              | 8000000    | 10         | 1500       | 100        | Photography         
1704474000           | Electronics               | Wi-Fi Router              | 500000     | 80         | 200        | 15         | Internet            
1704474800           | Books                     | Modern Philosophy         | 120000     | 150        | 200        | 8          | Non-Fiction         
1704475600           | Books                     | Superhero Comics          | 50000      | 200        | 100        | 3          | Fiction             
1704476400           | Books                     | Gardening Guide           | 90000      | 100        | 150        | 5          | Education           
1704477200           | Building Materials        | Teak Wood                 | 80000      | 500        | 400        | 20         | Construction        
1704478000           | Building Materials        | PVC Pipe                  | 15000      | 1000       | 100        | 3          | Construction        
1704478800           | Building Materials        | Floor Tiles               | 60000      | 300        | 300        | 15         | Decoration          
1704479600           | Building Materials        | Wooden Door               | 400000     | 20         | 1000       | 15         | Decoration          
1704480400           | Office Supplies           | Office Desk               | 1200000    | 10         | 800        | 35         | Furniture           
1704481200           | Office Supplies           | Ergonomic Chair           | 1500000    | 20         | 500        | 25         | Furniture           
1704482000           | Office Supplies           | Wall Calendar             | 20000      | 300        | 50         | 2          | Stationery          
1704482800           | Office Supplies           | Desk Lamp                 | 100000     | 100        | 200        | 10         | Decoration          
1704483600           | Sports Equipment          | Boxing Gloves             | 120000     | 50         | 150        | 10         | Fitness             
1704484400           | Sports Equipment          | Basketball                | 150000     | 70         | 200        | 12         | Games               
1704485200           | Sports Equipment          | Swimming Suit             | 250000     | 60         | 250        | 8          | Clothing            
1704486000           | Sports Equipment          | Dumbbell Set              | 500000     | 30         | 500        | 25         | Weightlifting       
